Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
272,2-STORY 1946 & NEWER,Residential Low-Density,92,11764,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Northridge,Norm,Norm,1Fam,Two-story,Very Good,Good,1999,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,348,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,524,Unfinished,0,628,1152,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1164,1106,0,2270,0,0,2,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1999.0,Finished,3,671,Typical/Average,Typical/Average,Paved,132,57,0,0,0,0,No,No,No,0,Apr,2010,Warranty Deed - Conventional,Normal Sale,290000
273,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Feedr,Norm,1Fam,One story,Above Average,Above Average,1958,1988,Hip,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,183,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,620,Low Quality,620,0,1240,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1632,0,0,1632,1,0,2,0,3,1,Typical/Average,6,Minor Deductions 1,1,Good - Masonry Fireplace on the main level,Attached to the home,1958.0,Rough Finished,1,338,Typical/Average,Typical/Average,Paved,289,0,0,0,0,0,No,Minimum Privacy,No,0,Apr,2009,Warranty Deed - Conventional,Normal Sale,139000
274,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,76,8314,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Mitchel,Norm,Norm,1Fam,One story,Average,Good,1982,1982,Gable,Standard (Composite) Shingle,Hard Board,ImStucc,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,546,Unfinished,0,270,816,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,816,0,0,816,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1982.0,Unfinished,1,264,Typical/Average,Typical/Average,Paved,168,0,0,0,0,0,No,No,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,124500
275,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,55,7264,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Norm,Norm,1Fam,One and one-half story &2nd level finished,Good,Good,1925,2007,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,Gd,Good,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas hot water or steam heat,Good,N,Standard Circuit Breakers & Romex,952,596,0,1548,0,0,2,1,3,1,Excellent,5,Typical Functionality,0,No,Detached from home,1978.0,Unfinished,2,672,Typical/Average,Typical/Average,Paved,74,0,0,0,144,0,No,No,No,0,Oct,2009,Warranty Deed - Conventional,Normal Sale,205000
276,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,129,9196,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchel,Norm,Norm,1Fam,One story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1560,1560,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1560,0,0,1560,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2003.0,Finished,2,573,Typical/Average,Typical/Average,Paved,100,150,0,0,0,0,No,No,No,0,Apr,2010,Warranty Deed - Conventional,Normal Sale,201000
277,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,140,19138,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Gilbert,Norm,Norm,1Fam,One story,Below Average,Average,1951,1951,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,120,Unfinished,0,744,864,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,No,Detached from home,1951.0,Unfinished,2,400,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,141000
278,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,107,14450,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,1Fam,One story,Excellent,Average,2006,2007,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,315,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,Unfinished,0,2121,2121,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,2121,0,0,2121,0,0,2,1,3,1,Excellent,8,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2007.0,Finished,3,732,Typical/Average,Typical/Average,Paved,124,98,0,0,142,0,No,No,No,0,May,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),415298
279,2-STORY 1946 & NEWER,Residential Low-Density,83,10005,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Norm,Norm,1Fam,Two-story,Good,Average,1977,1977,Hip,Standard (Composite) Shingle,Plywood,Plywood,299,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,392,Unfinished,0,768,1160,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1156,866,0,2022,0,0,2,1,4,1,Typical/Average,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977.0,Finished,2,505,Typical/Average,Typical/Average,Paved,288,117,0,0,0,0,No,No,No,0,Mar,2008,Warranty Deed - Conventional,Normal Sale,192000
280,2-STORY 1946 & NEWER,Residential Low-Density,82,11287,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,1Fam,Two-story,Good,Above Average,1989,1989,Gable,Standard (Composite) Shingle,Plywood,Plywood,340,Gd,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,421,Unfinished,0,386,807,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1175,807,0,1982,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1989.0,Finished,2,575,Typical/Average,Typical/Average,Paved,0,84,0,196,0,0,No,No,No,0,Jan,2007,Warranty Deed - Conventional,Normal Sale,228500
281,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,60,7200,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,One story,Above Average,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,68,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,905,Unfinished,0,357,1262,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1262,0,0,1262,0,0,2,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,2006.0,Finished,2,572,Typical/Average,Typical/Average,Paved,0,120,0,0,0,0,No,No,No,0,May,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),185000
282,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,34,5063,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,Twnhs,One story,Good,Average,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,166,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,904,Unfinished,0,410,1314,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1314,0,0,1314,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2008.0,Rough Finished,2,626,Typical/Average,Typical/Average,Paved,172,62,0,0,0,0,No,No,No,0,Apr,2009,Contract Low Down payment and low interest,Normal Sale,207500
283,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,9612,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Feedr,Norm,1Fam,One story,Very Good,Average,2008,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,72,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1468,1468,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1468,0,0,1468,0,0,2,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2008.0,Finished,3,898,Typical/Average,Typical/Average,Paved,210,150,0,0,0,0,No,No,No,0,Dec,2009,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),244600
284,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,50,8012,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,TwnhsE,One story,Above Average,Average,1992,1992,Gable,Standard (Composite) Shingle,Plywood,ImStucc,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,430,Unfinished,0,1145,1575,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1575,0,0,1575,1,0,2,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,1992.0,Rough Finished,2,529,Typical/Average,Typical/Average,Paved,0,0,52,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,179200
285,2-STORY PUD - 1946 & NEWER,Floating Village Residential,35,4251,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,TwnhsE,Two-story,Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,625,625,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,625,625,0,1250,0,0,2,1,2,1,Good,5,Typical Functionality,0,No,Detached from home,2006.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,54,0,0,0,0,No,No,No,0,Jun,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),164700
286,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,77,9786,Paved,Slightly irregular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Good,1962,1981,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,600,Unfinished,0,312,912,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1085,649,0,1734,0,0,1,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1962.0,Rough Finished,2,440,Typical/Average,Typical/Average,Paved,0,0,0,0,128,0,No,Good Privacy,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,159000
287,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8125,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Below Average,Below Average,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,614,Unfinished,0,244,858,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,858,0,0,858,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Paved,0,0,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,88000
288,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9819,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,31,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,450,Unfinished,0,432,882,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,900,0,0,900,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1970.0,Unfinished,1,280,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Minimum Privacy,No,0,Feb,2010,Warranty Deed - Conventional,Normal Sale,122000
289,2-STORY 1945 & OLDER,Residential Low-Density,60,8730,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,RRAn,Norm,1Fam,Two-story,Above Average,Good,1915,2003,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,698,698,Gas forced warm air furnace,Excellent,Y,Fuse Box over 60 AMP and all Romex wiring (Average),698,698,0,1396,0,0,1,0,3,1,Typical/Average,7,Typical Functionality,0,No,Detached from home,2003.0,Unfinished,1,384,Typical/Average,Typical/Average,Paved,0,0,0,0,259,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,153575
290,2-STORY 1946 & NEWER,Residential Low-Density,120,15611,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1079,1079,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1079,840,0,1919,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Rough Finished,2,685,Good,Typical/Average,Paved,0,51,0,0,0,0,No,No,No,0,Jul,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),233230
291,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,55,5687,Paved,Regular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SWISU,Norm,Norm,2fmCon,Two-story,Average,Above Average,1912,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Fair,PConc,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Average Rec Room,210,Unfinished,0,570,780,Gas forced warm air furnace,Excellent,N,Standard Circuit Breakers & Romex,936,780,0,1716,1,0,2,0,6,1,Fair,9,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Dirt/Gravel,0,184,0,0,0,0,No,No,No,0,Mar,2008,Warranty Deed - Conventional,Normal Sale,135900
292,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,11409,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One and one-half story &2nd level finished,Average,Below Average,1949,2008,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,292,Unfinished,0,476,768,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1148,568,0,1716,0,0,1,1,3,1,Typical/Average,8,Minor Deductions 2,1,Good - Masonry Fireplace on the main level,Attached to the home,1949.0,Unfinished,1,281,Typical/Average,Typical/Average,Paved,0,0,0,0,160,0,No,No,No,0,Jan,2009,Warranty Deed - Conventional,Normal Sale,131000
293,2-STORY 1946 & NEWER,Residential Low-Density,0,16659,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NWAmes,PosA,Norm,1Fam,Two-story,Good,Good,1977,1994,Gable,Standard (Composite) Shingle,Plywood,Plywood,34,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,795,Unfinished,0,0,795,Gas forced warm air furnace,Fair,Y,Standard Circuit Breakers & Romex,1468,795,0,2263,1,0,2,1,3,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977.0,Finished,2,539,Typical/Average,Typical/Average,Paved,0,250,0,0,0,0,No,No,No,0,Mar,2006,Warranty Deed - Conventional,Normal Sale,235000
294,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Average,1953,1953,Hip,Standard (Composite) Shingle,Hard Board,HdBoard,238,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1285,Unfinished,0,131,1416,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1644,0,0,1644,1,0,1,0,3,1,Typical/Average,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1953.0,Finished,2,418,Typical/Average,Typical/Average,Paved,110,0,0,0,0,0,No,No,No,0,Oct,2009,Warranty Deed - Conventional,Normal Sale,167000
295,SPLIT OR MULTI-LEVEL,Residential Low-Density,37,7937,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Mitchel,Norm,Norm,1Fam,Split Level,Above Average,Above Average,1984,1984,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,819,Unfinished,0,184,1003,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1003,0,0,1003,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1984.0,Unfinished,2,588,Typical/Average,Typical/Average,Paved,120,0,0,0,0,0,No,Good Privacy,No,0,Mar,2006,Warranty Deed - Conventional,Normal Sale,142500
296,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,75,13710,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Norm,Norm,1Fam,One and one-half story &2nd level finished,Average,Average,1950,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,420,Unfinished,0,490,910,Gas forced warm air furnace,Average/Typical,Y,Fuse Box over 60 AMP and all Romex wiring (Average),910,648,0,1558,0,0,1,1,4,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1950.0,Unfinished,1,282,Typical/Average,Typical/Average,Paved,289,0,0,0,0,0,No,Minimum Privacy,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,152000
297,2-STORY 1946 & NEWER,Floating Village Residential,66,7399,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,Two-story,Good,Average,1997,1998,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,1600,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,649,Unfinished,0,326,975,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,975,975,0,1950,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1997.0,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,0,10,0,0,198,0,No,No,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,239000
298,2-STORY 1946 & NEWER,Residential Low-Density,90,11700,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NWAmes,Norm,Norm,1Fam,Two-story,Above Average,Above Average,1968,1968,Mansard,Standard (Composite) Shingle,Hard Board,AsphShn,365,Gd,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,384,Average Rec Room,175,143,702,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1041,702,0,1743,0,1,1,2,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1968.0,Unfinished,2,539,Typical/Average,Typical/Average,Paved,224,0,0,0,0,0,No,No,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,175000
299,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,14000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Norm,Norm,1Fam,One story,Above Average,Very Good,1950,2004,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1092,1092,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1152,0,0,1152,0,1,1,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1950.0,Unfinished,1,300,Typical/Average,Typical/Average,Paved,0,36,0,0,0,0,No,Good Privacy,No,0,Aug,2009,Warranty Deed - Conventional,Sale between family members,158500
300,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,90,15750,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Crawford,Norm,Norm,2fmCon,One story,Average,Average,1953,1953,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,56,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Below Average Living Quarters,841,Unfinished,0,324,1165,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1336,0,0,1336,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1953.0,Unfinished,1,375,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,157000
301,2-STORY 1946 & NEWER,Residential Low-Density,66,16226,Paved,Irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Very Good,Average,1998,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,281,Unfinished,0,747,1028,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1210,1242,0,2452,0,0,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1998.0,Finished,2,683,Typical/Average,Typical/Average,Paved,208,50,0,0,0,0,No,No,No,0,May,2007,Warranty Deed - Conventional,Normal Sale,267000
302,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,118,13704,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Good,Average,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,150,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1541,1541,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1541,0,0,1541,0,0,2,0,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001.0,Rough Finished,3,843,Typical/Average,Typical/Average,Paved,468,81,0,0,0,0,No,No,No,0,Jan,2006,Warranty Deed - Conventional,Normal Sale,205000
303,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9800,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Average,Good,1972,1972,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,894,Unfinished,0,0,894,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,894,0,0,894,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1975.0,Unfinished,2,552,Typical/Average,Typical/Average,Paved,256,0,0,0,0,0,No,Good Wood,No,0,Jul,2006,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",149900
